"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20240212","경부선","용산","44248","33165","20240215"
"20240212","5호선","우장산","6826","7056","20240215"
"20240212","중앙선","운길산","826","682","20240215"
"20240212","공항철도 1호선","운서","6476","7854","20240215"
"20240212","경의선","운정","4168","3968","20240215"
"20240212","경의선","운천","8","5","20240215"
"20240212","일산선","원당","6296","6030","20240215"
"20240212","중앙선","원덕","378","250","20240215"
"20240212","수인선","원인재","2801","2830","20240215"
"20240212","서해선","원종","2972","2820","20240215"
"20240212","일산선","원흥","5781","5747","20240215"
"20240212","경원선","월계","3662","3408","20240215"
"20240212","6호선","월곡(동덕여대)","4965","5356","20240215"
"20240212","수인선","월곶","1782","1600","20240215"
"20240212","6호선","월드컵경기장(성산)","3929","3844","20240215"
"20240212","경의선","월롱","748","1305","20240215"
"20240212","3호선","을지로3가","4255","4173","20240215"
"20240212","2호선","을지로3가","9071","8418","20240215"
"20240212","2호선","을지로4가","4651","4810","20240215"
"20240212","5호선","을지로4가","1938","1965","20240215"
"20240212","2호선","을지로입구","24267","22364","20240215"
"20240212","경원선","응봉","1161","1156","20240215"
"20240212","6호선","응암","9032","9604","20240215"
"20240212","경부선","의왕","4532","4498","20240215"
"20240212","경원선","의정부","14038","14516","20240215"
"20240212","2호선","이대","6843","8666","20240215"
"20240212","경강선","이매","599","533","20240215"
"20240212","분당선","이매","2810","2879","20240215"
"20240212","7호선","이수","7775","7893","20240215"
"20240212","경강선","이천","2640","2580","20240215"
"20240212","4호선","이촌(국립중앙박물관)","6276","6563","20240215"
"20240212","경원선","이촌(국립중앙박물관)","2030","1740","20240215"
"20240212","6호선","이태원","9406","7863","20240215"
"20240212","과천선","인덕원","11008","11131","20240215"
"20240212","수인선","인천","1286","2031","20240215"
"20240212","경인선","인천","4373","3632","20240215"
"20240212","공항철도 1호선","인천공항1터미널","13746","12226","20240215"
"20240212","공항철도 1호선","인천공항2터미널","6178","5357","20240215"
"20240212","수인선","인천논현","3219","3255","20240215"
"20240212","수인선","인하대","3264","3254","20240215"
"20240212","경의선","일산","5818","5367","20240215"
"20240212","3호선","일원","3788","3933","20240215"
"20240212","경의선","임진강","68","57","20240215"
"20240212","8호선","잠실(송파구청)","12191","13468","20240215"
"20240212","2호선","잠실(송파구청)","52713","50154","20240215"
"20240212","2호선","잠실나루","5304","5281","20240215"
"20240212","2호선","잠실새내","11566","12383","20240215"
"20240212","3호선","잠원","2256","2209","20240215"
"20240212","7호선","장승배기","4129","4290","20240215"
"20240212","7호선","장암","1246","762","20240215"
"20240212","8호선","장지","9254","9089","20240215"
"20240212","5호선","장한평","7482","7950","20240215"
"20240212","경원선","전곡","1263","1048","20240215"
"20240212","우이신설선","정릉","2794","2357","20240215"
"20240212","일산선","정발산","4514","4595","20240215"
"20240212","과천선","정부과천청사","4418","4430","20240215"
"20240212","안산선","정왕","6274","6452","20240215"
"20240212","분당선","정자","7019","7723","20240215"
"20240212","1호선","제기동","9347","10113","20240215"
"20240212","경인선","제물포","5346","5085","20240215"
"20240212","1호선","종각","16228","13871","20240215"
"20240212","3호선","종로3가","5570","7318","20240215"
"20240212","5호선","종로3가","11795","10529","20240215"
"20240212","1호선","종로3가","18680","16631","20240215"
"20240212","1호선","종로5가","13249","12860","20240215"
"20240212","9호선2~3단계","종합운동장","2052","2214","20240215"
"20240212","2호선","종합운동장","3085","3443","20240215"
"20240212","경인선","주안","12167","10661","20240215"
"20240212","일산선","주엽","5275","5132","20240215"
"20240212","분당선","죽전","7711","8893","20240215"
"20240212","7호선","중계","6571","6006","20240215"
"20240212","7호선","중곡","4923","5064","20240215"
"20240212","경인선","중동","5338","4801","20240215"
"20240212","중앙선","중랑","3159","3250","20240215"
"20240212","안산선","중앙","13021","12436","20240215"
"20240212","9호선2~3단계","중앙보훈병원","3863","3810","20240215"
"20240212","7호선","중화","5120","5076","20240215"
"20240212","9호선","증미","2366","2597","20240215"
"20240212","6호선","증산(명지대앞)","5302","5554","20240215"
"20240212","3호선","지축","3410","3426","20240215"
"20240212","중앙선","지평","50","37","20240215"
"20240212","경원선","지행","4730","4570","20240215"
"20240212","경부선","직산","721","725","20240215"
"20240212","경부선","진위","950","981","20240215"
"20240212","경원선","창동","4","0","20240215"
"20240212","4호선","창동","14607","15126","20240215"
"20240212","6호선","창신","1504","1497","20240215"
"20240212","경춘선","천마산","1023","922","20240215"
"20240212","경부선","천안","7530","6343","20240215"
"20240212","7호선","천왕","4807","4741","20240215"
"20240212","8호선","천호(풍납토성)","8349","9782","20240215"
"20240212","5호선","천호(풍납토성)","12255","12088","20240215"
"20240212","7호선","철산","9997","10134","20240215"
"20240212","6호선","청구","1669","1644","20240215"
"20240212","5호선","청구","1733","1710","20240215"
"20240212","7호선","청담","5245","5765","20240215"
"20240212","공항철도 1호선","청라국제도시","3933","3871","20240215"
"20240212","경원선","청량리(서울시립대입구)","16499","13621","20240215"
"20240212","1호선","청량리(서울시립대입구)","13864","14094","20240215"
"20240212","분당선","청명","2232","2129","20240215"
"20240212","경원선","청산","127","84","20240215"
"20240212","경춘선","청평","1523","1355","20240215"
"20240212","경강선","초월","1916","1783","20240215"
"20240212","안산선","초지","2879","2629","20240215"
"20240212","4호선","총신대입구(이수)","9924","11112","20240215"
"20240212","경춘선","춘천","1863","1252","20240215"
"20240212","4호선","충무로","10738","11815","20240215"
"20240212","5호선","충정로(경기대입구)","1104","1204","20240215"
"20240212","2호선","충정로(경기대입구)","3189","3492","20240215"
"20240212","경의선","탄현","4428","3977","20240215"
"20240212","장항선","탕정","1079","1142","20240215"
"20240212","6호선","태릉입구","3149","3561","20240215"
"20240212","7호선","태릉입구","4741","4713","20240215"
"20240212","분당선","태평","7798","7520","20240215"
"20240212","경춘선","퇴계원","1931","1785","20240215"
"20240212","경의선","파주","775","698","20240215"
"20240212","경강선","판교","3782","3222","20240215"
"20240212","중앙선","팔당","1077","1119","20240215"
"20240212","경춘선","평내호평","3526","3268","20240215"
"20240212","과천선","평촌","6396","6383","20240215"
"20240212","경부선","평택","13470","13720","20240215"
"20240212","경부선","평택지제","3666","3529","20240215"
"20240212","경의선","풍산","3726","3425","20240215"
"20240212","7호선","하계","8629","8460","20240215"
"20240212","5호선","하남검단산","5311","5050","20240215"
"20240212","5호선","하남시청(덕풍?신장)","4771","4382","20240215"
"20240212","5호선","하남풍산","2200","2222","20240215"
"20240212","7호선","학동","4501","4965","20240215"
"20240212","3호선","학여울","677","734","20240215"
"20240212","6호선","한강진","5711","6548","20240215"
"20240212","경의선","한국항공대","807","844","20240215"
"20240212","경원선","한남","1962","1989","20240215"
"20240212","안산선","한대앞","5116","5085","20240215"
"20240212","4호선","한성대입구(삼선교)","6886","7619","20240215"
"20240212","9호선2~3단계","한성백제","1308","1365","20240215"
"20240212","2호선","한양대","2225","2646","20240215"
"20240212","분당선","한티","7507","7702","20240215"
"20240212","2호선","합정","18460","20077","20240215"
"20240212","6호선","합정","8683","7951","20240215"
"20240212","5호선","행당","3749","3361","20240215"
"20240212","경의선","행신","4794","4749","20240215"
"20240212","4호선","혜화","21992","23568","20240215"
"20240212","수인선","호구포","1721","1890","20240215"
"20240212","공항철도 1호선","홍대입구","13371","13044","20240215"
"20240212","2호선","홍대입구","61416","61094","20240215"
"20240212","경의선","홍대입구","1807","2409","20240215"
"20240212","3호선","홍제","9548","9551","20240215"
"20240212","우이신설선","화계","2083","1979","20240215"
"20240212","5호선","화곡","13983","13717","20240215"
"20240212","6호선","화랑대(서울여대입구)","4903","4214","20240215"
"20240212","경부선","화서","18658","18126","20240215"
"20240212","일산선","화정","9551","10026","20240215"
"20240212","중앙선","회기","12204","14013","20240215"
"20240212","경원선","회룡","7555","7235","20240215"
"20240212","4호선","회현(남대문시장)","11719","12414","20240215"
"20240212","경의선","효창공원앞","1161","1565","20240215"
"20240212","6호선","효창공원앞","3131","2862","20240215"
"20240212","9호선","흑석(중앙대입구)","3639","4088","20240215"
